id,hhb,hbo2,ca,na
10000,10.516516,4.030864,9.140728,2.9282336
10001,5.4850554,3.895333,7.9411864,2.2548816
10002,10.740244,4.972908,9.668312,3.5138907
10003,8.441875,4.384886,9.691617,3.3386161
10004,6.9342256,3.5456512,7.801318,4.527621
10005,7.7868485,4.2199016,8.916277,2.7582633
10006,6.0131006,3.3792377,8.679352,2.0659342
10007,8.644579,4.52915,11.364117,2.4875538
10008,7.395317,4.1291504,8.078743,2.9208858
10009,8.6131,3.7745292,6.9254427,3.010939
10010,9.046826,3.49408,9.788344,3.816616
10011,7.818797,3.297092,5.842351,3.966987
10012,9.5462475,4.01373,6.9470596,2.5232697
10013,7.037661,4.5553017,9.249386,2.7105775
10014,8.968214,4.0699744,7.502649,2.5292766
10015,5.8814964,3.264297,6.9080734,3.9100966
10016,9.403277,3.3863864,8.469587,4.3573165
10017,8.471957,3.663618,9.554522,2.1888378
10018,10.968203,4.01092,9.584271,2.8322916
10019,6.8282804,3.9213054,7.934289,1.3564415
10020,8.503031,3.6427402,9.329702,4.3342085
10021,11.477514,4.430197,10.857977,2.6223664
10022,11.163318,4.1673875,11.057685,3.1943545
10023,6.1842318,4.4754004,8.921706,2.9902127
10024,6.9026656,4.2350435,9.903239,3.2829757
10025,10.829172,4.2819138,9.977737,2.9438381
10026,8.9258375,3.2597892,8.021636,2.8122857
10027,10.951145,4.4292784,11.627066,5.3881474
10028,3.024562,3.6929574,7.877247,2.85957
10029,8.283243,3.9092915,6.434775,3.1924481
10030,4.6555557,3.6635597,6.503344,2.8194687
10031,7.667853,3.143721,7.703653,2.9598002
10032,12.258296,4.4420314,11.3068495,2.9507477
10033,7.7685785,4.357292,10.26589,2.978045
10034,10.197189,4.1830626,10.6017275,3.3576462
10035,6.562608,3.4145718,7.6651583,3.0574963
10036,9.956881,3.942592,7.503595,4.0755553
10037,6.275369,3.9323509,8.511832,2.566466
10038,8.785276,4.601008,8.266217,3.0590386
10039,8.734976,3.0825927,9.142401,2.9206522
10040,5.694154,3.718898,8.664724,3.2299194
10041,7.740199,3.8850899,8.996244,3.8386772
10042,8.080589,4.665636,10.303771,2.478205
10043,10.528079,2.9718428,9.727179,2.6460106
10044,7.0059204,4.5557356,10.593393,3.548854
10045,7.8092055,3.7043247,11.341641,2.8811889
10046,6.8466387,4.2526155,10.452048,2.8980536
10047,6.808207,4.083847,10.55689,3.2059898
10048,6.8977327,3.6413918,9.010423,2.7922637
10049,7.3340454,4.494654,9.724549,2.302875
10050,7.399492,3.7575364,9.771227,1.377542
10051,9.699211,4.2533875,8.952563,2.6364698
