id,hhb,hbo2,ca,na
10000,8.51499,4.6053696,9.271027,3.4140007
10001,6.3106413,3.4457061,8.730494,2.6226785
10002,10.241942,4.9007897,10.440969,4.048143
10003,8.645592,4.0866694,9.921885,3.6525016
10004,7.2622237,3.4886696,8.206006,4.3421383
10005,7.7101464,4.10384,10.940653,2.7726915
10006,8.14198,2.5454586,7.411396,2.375767
10007,9.035294,4.7746487,10.693712,3.0619273
10008,6.4662523,4.574945,8.828743,3.4057527
10009,9.493646,3.5184243,7.788986,2.340305
10010,9.497061,3.572927,9.77991,6.4340844
10011,8.736383,3.4930954,4.3438826,4.1051064
10012,9.027658,3.9371445,5.994826,2.3363574
10013,7.8789167,4.591873,9.305987,3.1615024
10014,9.585764,3.8438327,7.404372,2.431831
10015,5.0738044,3.4744003,8.315741,3.7293007
10016,9.887502,3.0547347,9.537278,4.915656
10017,8.810496,4.004337,9.412576,2.1256394
10018,10.143328,4.410763,10.078573,3.852655
10019,7.4982634,3.4955964,7.342469,1.4289774
10020,9.448458,3.2830071,10.157108,3.6014304
10021,10.340343,4.4683533,9.564479,1.8523207
10022,12.192374,4.580724,10.852563,3.1843426
10023,6.913604,4.2065115,9.871858,3.258889
10024,6.4611993,4.282673,10.0054455,2.4565551
10025,9.816043,4.143197,7.6307907,2.822257
10026,9.863083,3.2136028,6.8777914,2.8257248
10027,13.687277,5.0333514,11.340621,3.8877163
10028,2.472033,3.831274,7.3090606,2.8328729
10029,7.890692,3.5775962,8.102382,3.5421162
10030,2.9812653,4.220144,7.69377,3.6278622
10031,7.6757994,3.333856,7.5438285,3.6653047
10032,14.869795,4.346359,11.3016,3.6329567
10033,8.818408,4.073616,7.3617897,3.3347745
10034,10.254924,3.69436,6.473568,4.2305174
10035,6.7875137,3.3163247,8.125295,4.0255194
10036,8.396364,3.9090734,7.635286,3.8880181
10037,5.8208036,4.1556587,7.586637,3.008494
10038,10.25033,4.5635004,8.199866,3.5938087
10039,8.658324,2.910368,9.057434,3.294944
10040,3.8927708,4.520556,8.455362,3.7063649
10041,7.176278,3.8950489,8.685401,4.507384
10042,7.9670577,4.8772244,11.858175,2.7538068
10043,10.864856,3.2828643,8.851842,2.8478131
10044,7.251836,4.332418,9.738078,3.2002788
10045,6.4688745,3.799707,12.029404,2.2447405
10046,6.8683486,4.0794654,10.503855,3.2856247
10047,7.9545455,4.38659,10.188355,3.612973
10048,7.5785613,3.7131798,7.8212028,3.1979458
10049,7.302892,4.5991745,9.430212,1.612809
10050,7.4850106,3.8159013,11.043424,0.7856776
10051,9.279884,4.7058005,8.114508,3.4873707
10052,11.498499,3.9685745,7.549365,3.4406102
10053,5.992538,3.7869544,9.639171,3.036365
10054,7.0612946,4.4639215,8.484666,3.224662
10055,7.572811,3.4428952,9.514547,5.9088798
10056,10.983025,5.093493,9.9477215,3.7931151
10057,7.7800713,4.212493,8.374013,3.6000302
10058,10.911728,4.014865,9.312476,3.380608
10059,7.87807,3.7817593,8.751765,4.68925
10060,12.692725,3.0369883,5.5568304,3.0146308
10061,3.811845,3.9002793,10.489605,1.687651
10062,3.825545,2.9734426,6.944799,5.3794146
10063,12.7703705,4.3110766,8.123067,3.8351789
10064,7.3740015,3.5337577,8.969466,3.8246582
10065,7.8144827,3.7100463,10.333757,3.0400448
10066,8.232325,3.5647492,10.026149,3.5623736
10067,7.5203047,3.7724183,7.5035734,2.5584044
10068,9.716507,4.802793,10.104616,2.7219322
10069,10.980062,4.683614,11.490142,3.7269104
10070,6.9136114,4.7956276,9.395468,3.585389
10071,-1.246004,3.5618825,8.905081,4.146779
10072,8.879,4.3459616,8.282338,3.2795842
10073,7.7559595,3.9734192,9.133774,2.1995556
10074,6.447262,4.2590127,8.123114,4.3086867
10075,8.244407,4.4319925,10.868692,1.5825605
10076,6.334475,4.4910445,12.329738,1.7659242
10077,7.9623046,4.438581,9.7262745,1.6288849
10078,9.784833,3.984291,9.662928,2.708568
10079,7.646431,3.9164734,10.560197,3.109468
10080,7.2192216,3.7217546,8.444229,3.5977395
10081,6.683872,4.0751657,6.499273,2.903429
10082,11.669737,4.8117104,11.104648,2.5782053
10083,7.0368905,3.4471886,9.736285,0.8796989
10084,7.013649,3.8590934,7.8050857,4.1395826
10085,10.807785,4.0192404,5.075577,5.114642
10086,11.830775,4.0923104,6.7170515,2.6240022
10087,9.864321,4.420203,9.564489,3.6821918
10088,5.0034137,3.5115006,6.877269,3.4468956
10089,10.680603,5.2144423,9.799543,2.041895
10090,9.372474,3.9067123,8.10465,2.6740587
10091,4.2886953,3.242683,7.7966967,2.6338425
10092,3.8597527,4.551586,9.930344,0.27045187
10093,6.0408597,3.8515658,8.066029,0.33776346
10094,8.939142,3.4875042,4.9118524,2.5617058
10095,3.7562585,3.3914146,7.8676705,1.1286539
10096,0.1645209,3.515226,11.220587,2.1115434
10097,7.181984,4.413027,10.563593,3.1992946
10098,10.543287,4.405173,9.844145,3.1892989
10099,9.817395,3.8851764,10.209335,2.7175057
10100,6.9721174,4.0990934,8.24968,2.506388
10101,4.848467,4.181285,10.339666,1.8524367
10102,1.5097449,2.482178,9.415919,1.512922
10103,6.993898,3.8630652,9.963038,2.8789268
10104,3.913974,3.608678,8.716828,-0.14283478
10105,10.481302,3.9107628,7.669001,3.1428275
10106,10.567172,3.9962761,12.64017,3.8437355
10107,7.8004427,3.2856197,10.785727,2.914119
10108,8.223591,3.5874755,7.154269,2.4176729
10109,8.35088,4.48791,10.047755,3.6970105
10110,8.547083,4.5076942,13.570004,1.4096504
10111,9.584635,4.837609,10.3524275,2.9033139
10112,8.939301,4.4640017,10.504558,2.7298443
10113,10.648713,4.7132454,10.78673,2.7235484
10114,7.6448774,4.0551767,7.077033,2.0743005
10115,7.19628,3.015157,5.547221,2.182154
10116,8.454386,3.555793,8.420553,2.9827309
10117,8.05559,3.964833,8.298477,3.3464158
10118,9.626918,3.9128158,7.561675,3.5304248
10119,11.771248,5.0802536,9.825923,3.1560826
10120,6.8506217,4.0872216,9.276151,3.6880844
10121,7.680434,3.7125351,8.117739,3.4980576
10122,7.5610976,4.3363633,10.675074,3.1415558
10123,1.7338988,3.2459626,8.985324,1.69622
10124,7.432004,3.2195792,8.680067,2.5036283
10125,4.8514485,4.0871606,8.038691,5.0207076
10126,5.3792586,3.4761016,6.1805296,2.4270053
10127,4.435424,3.9041374,8.307405,4.23034
10128,7.957769,4.5344176,12.510878,4.507262
10129,8.024614,4.823122,11.103684,3.0611906
10130,6.0948296,3.5754738,8.539164,4.0548434
10131,6.4486475,4.6542616,12.824783,2.1641388
10132,6.853376,3.4075775,7.266886,2.198148
10133,9.06081,4.833739,12.003001,2.148848
10134,8.66503,3.21437,6.908429,3.8324847
10135,9.647249,3.6590736,7.2753243,2.9972384
10136,10.947788,4.6734858,9.005915,2.9458127
10137,6.027198,3.7349877,8.546473,2.9044292
