id,hhb,hbo2,ca,na
10000,7.705311,3.8140936,8.527751,2.8386831
10001,8.107392,3.9033508,8.862085,2.8552136
10002,10.075897,4.149157,9.594938,3.3468194
10003,9.35359,4.043611,9.253167,3.031518
10004,7.7437043,4.074502,9.197043,3.0505404
10005,7.739795,3.862835,8.703189,2.9003892
10006,7.7234473,4.054071,9.078002,2.9768128
10007,8.112947,4.035799,9.074953,2.9786954
10008,7.749171,3.8277187,8.747617,2.8021321
10009,7.7200656,4.0021906,8.704995,2.9205704
10010,9.445295,4.278826,9.77693,3.4947214
10011,7.4425673,3.598713,6.01397,3.6247635
10012,7.966189,3.8810906,7.484014,3.0148706
10013,7.716889,3.8222666,8.718352,2.7914438
10014,8.506133,3.9022899,7.406134,3.214922
10015,8.037664,3.861812,8.62034,2.9675517
10016,9.364426,3.9752254,8.572436,2.92003
10017,8.170901,3.9046273,9.089872,2.3248954
10018,7.413405,3.8817997,8.653316,2.8593893
10019,8.315332,4.0359335,9.285174,2.863688
10020,7.5960913,3.857994,8.85502,2.9973965
10021,10.125515,4.2951183,10.301209,2.732823
10022,7.623483,3.8862305,8.651188,2.8342228
10023,7.615763,3.8463278,8.599995,2.828814
10024,7.675861,3.8366232,8.845752,2.959795
10025,7.4594836,3.899024,8.542766,2.9031663
10026,8.600989,3.9927683,7.6155844,1.9692382
10027,7.3693037,3.9460044,8.766933,2.8950071
10028,8.159611,3.9629178,8.9833355,2.9622087
10029,7.600146,3.892974,7.720675,3.2623534
10030,8.306365,3.9207277,8.865694,2.78621
10031,7.9769487,3.8751235,8.919969,2.788621
10032,7.8079944,3.8499074,8.708203,2.7988853
10033,8.065433,4.1176014,8.9886875,3.0441327
10034,8.857748,4.426924,11.317967,2.77915
10035,7.620602,3.9409752,8.645978,2.8627734
10036,8.150714,4.123766,9.031073,3.0948505
10037,8.0104885,4.0386114,9.017056,2.8385243
10038,7.8943257,3.914846,8.823552,2.870932
10039,8.034171,3.897994,8.966565,2.9085455
10040,7.6833854,3.8416777,8.734409,2.8348055
10041,8.067005,3.9701838,8.7217655,2.9395223
10042,7.521875,4.013523,9.092017,2.946866
10043,9.601681,4.269068,10.137996,2.8793159
10044,7.539649,3.8516731,8.554667,2.8807878
10045,7.964145,4.0911136,9.220672,3.0211496
10046,7.897776,3.908629,8.70973,2.9259458
10047,6.256663,4.0431833,9.890986,3.504425
10048,6.6976314,3.8150177,7.687942,4.349247
10049,8.112834,3.7632327,8.886521,2.5067506
10050,8.418239,4.1017795,9.34389,3.0209932
10051,7.6349053,3.8353662,8.573207,2.8361044
10052,7.524731,3.8731894,8.55778,2.908596
10053,8.074595,3.858714,9.01332,2.895247
10054,7.9781175,3.9056396,8.77922,2.889843
10055,5.990888,4.011299,10.596755,3.7701354
10056,7.4218154,4.0282784,8.968944,2.9459968
10057,7.361946,3.8746047,8.639925,2.7826633
10058,7.8701615,4.097606,9.124566,2.96737
10059,7.301563,3.9071531,8.063291,4.458432
10060,7.846848,3.8463397,8.790066,2.8877316
10061,4.614753,3.306672,7.6742787,1.4908772
10062,6.9778137,3.6454482,7.9080515,2.5394955
10063,8.005278,3.9151373,8.98558,2.956336
10064,7.996553,3.8687725,8.938918,2.8995008
10065,9.464832,3.953939,8.601294,2.8840156
10066,7.804911,3.843989,8.992064,2.8787456
10067,7.814301,3.84768,8.72345,2.8128295
10068,7.8910556,4.0740867,9.213251,3.07369
10069,7.659406,3.9160433,8.498291,2.8143325
10070,8.322215,3.995338,9.252708,2.863227
10071,7.722805,3.8897882,8.625399,2.8405347
10072,8.015577,4.0679173,9.127076,3.0746017
10073,7.6538563,3.8714185,8.761643,2.8535705
10074,7.921498,3.9015718,8.826436,2.9092593
10075,8.350123,4.3169546,10.860873,2.4805355
10076,8.433524,3.7457252,7.913358,2.3820298
10077,7.555659,3.832602,8.875073,2.6557493
10078,7.6988425,4.0650587,9.008794,2.9892602
10079,8.022441,3.9575071,8.871575,2.8467464
10080,7.818398,3.8760614,8.647124,2.8562856
10081,8.02595,4.0736747,9.0946455,2.9259543
10082,7.8462243,3.9123878,8.681462,2.9123368
10083,7.8746467,3.8497553,8.937737,2.8912392
10084,8.199845,4.0693316,9.128966,2.9324203
10085,8.307794,4.0497003,9.249333,2.907393
10086,8.328352,4.0582485,9.301618,2.9330406
10087,7.974397,4.0237865,8.942405,2.8630204
10088,8.190004,3.9683776,8.801619,2.9721665
10089,7.7832437,3.8200936,8.829804,2.861209
10090,9.636686,4.1772537,9.687362,2.7982469
10091,4.762813,3.5523186,7.9491153,2.3560166
10092,3.7596674,3.5360403,7.7772164,1.079046
10093,6.804511,3.8449206,9.973769,0.17242563
10094,7.3534694,3.6535444,8.03144,2.0098767
10095,7.083641,3.9414978,9.290734,2.5190303
10096,7.0589495,3.8224149,8.650974,2.7568655
10097,7.775905,3.8134146,8.582031,2.6438951
10098,7.8767056,3.970984,8.895684,2.8939633
10099,7.7391143,3.9925852,8.714869,2.9144855
10100,7.7048407,3.8422031,8.65323,2.8597202
10101,7.5653434,3.8613982,8.7877445,2.888669
10102,2.2167437,6.042075,15.675984,3.2988849
10103,7.9559813,3.995336,8.921121,2.9173765
10104,4.3557177,3.3288827,7.428043,0.25483224
10105,9.259342,3.813198,5.834454,2.4142034
10106,10.112631,4.312084,10.309228,3.2383256
10107,7.947369,3.8380327,8.883315,2.8031077
10108,7.8660984,3.7106242,8.071014,2.4746542
10109,8.178189,4.0606713,9.327338,2.9911704
10110,8.577744,4.2449284,10.953539,2.2634583
10111,8.473311,4.067793,9.330689,3.0581017
10112,7.737306,3.8081408,9.042084,2.8948812
10113,7.7582874,3.9094596,8.50553,2.8158646
10114,8.128602,4.001076,8.99159,2.905477
10115,8.103171,4.10787,8.965584,3.0425887
10116,9.35223,3.7096772,7.077965,2.6684132
10117,7.6083503,4.013266,9.113879,2.7444
10118,8.423572,4.1047273,9.33825,3.0381742
10119,10.754844,4.217505,9.700383,3.0693312
10120,6.3273096,3.9153743,9.370441,3.1840029
10121,7.275373,3.7663236,8.934728,2.769761
10122,7.1235876,3.760407,8.59655,2.8041954
10123,3.090826,4.3971624,9.184382,0.17543793
10124,6.4924693,5.0387263,13.266667,5.31725
10125,13.532757,5.306067,12.939426,4.626948
10126,8.409496,4.093016,9.323728,3.0311975
10127,7.841809,3.9119773,8.698031,2.893765
10128,7.993551,4.0161676,8.992815,2.8625607
10129,7.8743944,3.8990602,8.777661,2.8968954
10130,5.526715,3.8441806,8.266635,3.1491714
10131,7.6264596,3.9636402,8.964271,2.8694005
10132,7.8645573,3.9631968,8.535248,2.8532224
10133,8.199368,3.955102,9.124725,2.8405561
10134,7.926122,3.9675255,8.759529,2.9453883
10135,8.404773,4.0719004,9.361438,2.9503593
10136,7.812588,3.8592782,8.726272,2.8448253
10137,7.8223367,3.877624,8.666871,2.8780317
10138,7.9572983,3.8656936,9.088117,2.9042134
10139,8.6215515,3.9906192,9.842076,2.1640484
10140,7.5990453,3.8126774,8.553387,2.7994895
10141,5.0607877,3.2258244,5.0654516,2.5837302
10142,8.572807,3.9470677,7.139443,3.9272819
10143,7.770165,3.92245,8.609568,2.9608483
10144,7.593607,3.8023777,8.983106,2.9080195
10145,7.9254775,3.8585048,8.92238,2.8915815
10146,7.9745955,3.9181538,9.04404,2.6203976
10147,7.5793557,3.8207588,8.72162,2.8954654
10148,7.1628227,3.6951566,7.1494913,3.1697955
10149,7.8165603,3.8529382,8.799912,3.024898
10150,6.480334,3.8598266,9.077954,2.6445575
10151,7.832973,3.9628325,8.823197,2.9486027
10152,6.1978235,3.7308502,9.693038,2.2722974
10153,7.398809,3.7680054,9.061067,2.8456798
10154,7.883628,3.85078,8.555912,2.9906373
10155,4.6827464,3.6664176,7.956097,3.2770472
10156,6.5041924,3.843779,8.826453,3.3433695
10157,8.719856,4.03047,9.32866,2.9610996
10158,8.416559,4.021847,9.181594,2.9433956
10159,7.837733,3.8643703,8.687857,2.8162088
10160,7.5833483,3.8677106,8.619213,2.8668451
10161,7.8815174,4.068038,9.137181,3.0287814
10162,8.009316,4.085639,8.958835,3.0262752
10163,7.9023814,3.960442,8.726917,2.914031
10164,7.418426,3.8315682,8.621681,2.8762994
10165,8.122917,3.914163,8.917499,2.8446326
10166,7.5220447,3.8891788,8.603701,2.8240104
10167,7.709761,3.8420458,8.648926,2.8658257
10168,8.367173,4.1929398,9.062325,3.1241345
10169,7.937646,4.1281247,9.256875,3.0763373
10170,7.7563205,3.8087358,9.0543375,2.9175081
10171,7.7697425,4.0366726,8.929574,2.9542365
10172,7.6099315,3.8369317,8.585769,2.8625283
10173,7.724427,4.0541353,9.327794,2.9853368
10174,9.468418,4.1496253,8.991353,2.9718342
10175,7.958363,3.9544783,8.570179,2.8781075
10176,7.684751,3.8014793,8.846776,2.9668264
10177,6.7721715,3.9369812,9.020414,2.4191635
10178,7.6150956,3.9648423,8.6390915,2.8097243
10179,8.112145,3.9446583,8.951178,2.8745918
10180,7.8543324,3.9511418,8.8966255,2.8338919
10181,7.3809114,3.8216977,8.52656,2.8396
10182,7.889898,3.867373,8.912972,2.9524174
10183,7.918278,3.8962665,8.746243,2.903934
10184,7.4342995,3.8576555,8.657246,2.9148893
10185,9.17138,4.153033,9.432164,2.9790916
10186,7.432346,3.9724498,8.885269,2.9866195
10187,7.8589745,4.1243734,9.110607,3.1208153
10188,7.8964286,4.079562,9.299911,3.0126162
10189,6.4002995,3.976142,10.239442,2.6711836
10190,9.740715,4.4746,10.40463,3.745123
10191,8.134782,3.976263,9.075834,2.8256707
10192,8.154329,4.0952373,9.006139,3.1644893
10193,8.350814,3.9844322,9.212834,2.8872004
10194,7.4559255,3.494866,5.8642135,2.9411244
10195,7.185778,3.9931831,9.86683,2.2966456
10196,8.070806,3.8681717,8.966654,2.5077167
